Data,Polaridade,Subjetividade,qtde
20140610,0.3,6.55,6
20140611,0.1,1.4,1
20140613,0.0,2.0,2
20140616,0.4,1.8,1
20140618,1.75,4.6125,3
20140620,0.0,1.0,1
20140624,0.3,1.4,1
20140625,0.09393939393939395,2.949242424242424,2
20140626,0.75,6.111111111111111,5
20140630,-0.007575757575757576,1.3115530303030303,1
20140701,0.1363636363636364,3.4545454545454546,3
20140703,0.6681818181818182,4.439772727272727,3
20140707,0.6,2.0,1
20140708,0.8,1.75,1
20140710,0.0,1.0,1
20140711,0.4375,4.55,4
20140714,1.4875,4.733333333333333,3
20140715,0.0,2.1,2
20140716,0.3,2.8,2
20140717,0.0,1.5,1
20140718,0.5,1.5,1
20140721,0.3465909090909091,1.735858585858586,1
20140722,0.0,1.0,1
20140723,0.1363636363636364,3.5795454545454546,3
20140724,0.5,1.5,1
20140725,0.8875,5.785,4
20140728,0.4583333333333333,3.7,3
20140729,0.7375,5.383333333333334,4
20140730,0.0,1.0,1
20140731,0.125,1.5416666666666665,1
20140801,0.0,4.5,3
20140804,0.02916666666666667,4.391666666666667,4
20140805,1.9249999999999998,10.9375,8
20140806,0.9181818181818182,5.027272727272727,4
20140808,1.413888888888889,5.288888888888889,4
20140811,0.0,1.0,1
20140813,0.9125,5.6499999999999995,4
20140814,0.0,1.0666666666666667,1
20140815,0.2,2.2,2
20140818,2.5625,11.6,7
20140819,0.4,6.135714285714286,5
20140820,0.4375,4.55,4
20140821,0.6363636363636365,2.9545454545454546,2
20140822,0.0,1.0,1
20140825,0.3666666666666666,2.3333333333333335,2
20140826,0.05,1.3,1
20140827,0.30643939393939396,10.902575757575757,9
20140828,0.5,4.9,4
20140829,0.4375,1.55,1
20140901,0.3,2.7,2
20140902,0.0,1.0,1
20140903,0.475,1.8,1
20140904,0.15,2.25,2
20140905,0.0,1.0,1
20140908,0.5,2.5,2
20140909,0.3181818181818182,1.4772727272727273,1
20140910,0.0,1.0,1
20140911,0.4666666666666666,1.7000000000000002,1
20140912,1.4833333333333334,5.366666666666667,3
20140915,0.4,1.35,1
20140916,0.0,1.0,1
20140917,0.0,1.0,1
20140918,0.0,1.0,1
20140919,0.0,1.0,1
20140922,0.85,6.0,5
20140923,0.7166666666666666,5.333333333333334,4
