Data,Polaridade,Subjetividade,Sentiment,qtde
20150113,0.9,5.6,0.5,4
20150114,0.2666666666666666,7.266666666666666,0.16326530612244894,6
20150115,1.3,5.5,0.7428571428571429,4
20150116,1.5416666666666665,8.333333333333332,0.9916666666666666,6
20150119,1.7543650793650793,13.646031746031747,1.0718565988223248,8
20150121,1.4,12.1,0.9247311827956988,10
20150122,-0.025000000000000022,5.375,-0.05913043478260871,4
20150123,0.0,2.0,0.0,2
20150126,0.9333333333333333,8.522222222222222,0.5890989988876529,6
20150127,0.0,4.0,0.0,4
20150128,2.925,16.85,1.714516129032258,10
20150129,0.65,5.116666666666667,0.41711229946524064,4
20150130,0.675,24.40833333333333,0.4486960566766059,20
20150131,0.4666666666666666,6.95,0.3163841807909604,6
20150201,2.670833333333334,58.84166666666666,1.804232232774672,42
20150202,-0.5303030303030304,32.50454545454545,-0.48961269363398296,24
20150203,4.1460606060606064,44.14242424242425,2.4574305303854054,32
20150204,4.975851370851373,62.600483405483395,3.1493673342265027,46
20150205,1.5404761904761906,33.27142857142857,0.8771222896465868,22
20150206,1.12,20.788333333333334,0.7408493659835402,16
20150207,1.0,3.0,0.6666666666666666,2
20150208,0.0,2.0,0.0,2
20150209,1.272727272727273,6.909090909090909,0.6875,4
20150210,1.275,8.6,0.9409937888198758,6
20150211,3.5547619047619055,57.039285714285725,1.6963567075027446,40
20150212,2.666666666666667,18.0,1.6501831501831503,12
20150213,1.9,9.5,1.1823983169705472,6
20150216,1.4909090909090912,5.236363636363636,1.1416445623342177,4
20150217,1.0,7.199999999999999,0.5625,4
20150218,0.0,4.0,0.0,4
20150219,1.2999999999999998,8.3,0.7857142857142858,6
20150220,2.5,6.4,1.5166666666666666,4
20150223,2.7030303030303027,18.212878787878786,1.5737262116739528,12
20150224,2.5,18.183333333333334,1.3833553726058951,12
20150225,1.0,3.2,0.625,2
20150226,-0.050000000000000044,10.6,-0.17669172932330834,8
20150227,2.272727272727273,6.909090909090909,1.1875,4
20150302,0.7,5.1,0.4516129032258064,4
20150303,1.0,5.066666666666666,0.6666666666666666,4
20150305,0.4,13.1,0.25391849529780564,10
20150306,3.272727272727273,20.409090909090907,1.8541666666666665,14
20150307,0.0,2.0,0.0,2
20150308,0.3571428571428572,2.571428571428571,0.27777777777777785,2
20150309,0.0,6.0,0.0,6
20150310,1.7,4.0,0.85,2
20150311,2.0,13.333333333333334,1.25,10
