data,dowjones
20130611,15122.02
20130610,15238.59
20130607,15248.12
20130606,15040.62
20130605,14960.59
20130604,15177.54
20130603,15254.03
20130531,15115.57
20130530,15324.53
20130529,15302.80
20130528,15409.39
20130524,15303.10
20130523,15294.50
20130522,15307.17
20130521,15387.58
20130520,15335.28
20130517,15354.40
20130516,15233.22
20130515,15275.69
20130514,15215.25
20130513,15091.68
20130510,15118.49
20130509,15082.62
20130508,15105.12
20130507,15056.20
20130506,14968.89
20130503,14973.96
20130502,14831.58
20130501,14700.95
20130430,14839.80
20130429,14818.75
20130426,14712.55
20130425,14700.80
20130424,14676.30
20130423,14719.46
20130422,14567.17
20130419,14547.51
20130418,14537.14
20130417,14618.59
20130416,14756.78
20130415,14599.20
20130412,14865.06
20130411,14865.14
20130410,14802.24
20130409,14673.46
20130408,14613.48
20130405,14565.25
20130404,14606.11
20130403,14550.35
20130402,14662.01
20130401,14572.85
20130328,14578.54
20130327,14526.16
20130326,14559.65
20130325,14447.75
20130322,14512.03
20130321,14421.49
20130320,14511.73
20130319,14455.82
20130318,14452.06
20130315,14514.11
20130314,14539.14
20130313,14455.28
20130312,14450.06
20130311,14447.29
20130308,14397.07
20130307,14329.49
20130306,14296.24
20130305,14253.77
20130304,14127.82
20130301,14089.66
20130228,14054.49
20130227,14075.37
20130226,13900.13
20130225,13784.17
20130222,14000.57
20130221,13880.62
20130220,13927.54
20130219,14035.67
20130215,13981.76
20130214,13973.39
20130213,13982.91
20130212,14018.70
20130211,13971.24
20130208,13992.97
20130207,13944.05
20130206,13986.52
20130205,13979.30
20130204,13880.08
20130201,14009.79
20130131,13860.58
20130130,13910.42
20130129,13954.42
20130128,13881.93
20130125,13895.98
20130124,13825.33
20130123,13779.33
20130122,13712.21
20130118,13649.70
20130117,13596.02
20130116,13511.23
20130115,13534.89
20130114,13507.32
20130111,13488.43
20130110,13471.22
20130109,13390.51
20130108,13328.85
20130107,13384.29
20130104,13435.21
20130103,13391.36
20130102,13412.55
